person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,Risk Score,Risk Category
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,16.41,Low Risk
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,64.62,High Risk
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,93.52,High Risk
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,95.72,High Risk
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,10.32,Low Risk
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,81.85,High Risk
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,83.61,High Risk
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,78.76,High Risk
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,62.09,High Risk
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,63.01,High Risk
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,49.4,Medium Risk
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,51.71,Medium Risk
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,95.5,High Risk
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,47.73,Medium Risk
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.0,Low Risk
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,43.16,Medium Risk
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,98.13,High Risk
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,98.21,High Risk
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,37.59,Medium Risk
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,10.22,Low Risk
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,89.99,High Risk
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,99.12,High Risk
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,13.53,Low Risk
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,98.04,High Risk
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,93.0,High Risk
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,92.83,High Risk
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,19.61,Low Risk
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,90.94,High Risk
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,57.5,Medium Risk
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,24.51,Low Risk
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,20.47,Low Risk
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,87.14,High Risk
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.27,Low Risk
